text,sentiment,Platform,target_map
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",positive,instagram,1
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,twitter,2
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,facebook,1
No waterfront anymore   faccia luna and clarendon will have to do,negative,instagram,0
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,twitter,1
Slipped up and caught the flu  feeling like poop!,negative,facebook,0
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive,instagram,1
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative,twitter,0
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral,twitter,2
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral,instagram,2
" If u do, please pray 4 me.  Lord knows I need it.",neutral,facebook,2
aaaaaw i want to live in the USA,neutral,twitter,2
Morning tweeple,positive,instagram,1
" Hey, I didn`t get any !!!",neutral,facebook,2
 Now you only have 2 hours to sleep...  - Rest if you need it.,positive,twitter,1
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral,instagram,2
I don`t want to sit at home on prom night. Someone hang out with me,negative,facebook,0
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,twitter,1
concert tonight  chackin out and not coming tomorrow!,neutral,instagram,2
 what happened? I thought you were coming back today....,neutral,twitter,2
 lol dammit  well then next time then,negative,facebook,0
 lol. just don`t ever forget me,positive,instagram,1
 Still jealous,negative,twitter,0
Me at Forever 21  Ethan couldn`t be there,negative,facebook,0
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative,instagram,0
this week of mine was not easy!  but finally it`s over! (:,negative,twitter,0
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive,facebook,1
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive,instagram,1
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral,instagram,2
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral,twitter,2
 but you always have lee. Let`s go to Paris,neutral,facebook,2
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,positive,instagram,1
cooking with my dad  having lots of fun in the kitchen together,positive,twitter,1
Bouncing Rush makes me feel nauseous,negative,facebook,0
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive,instagram,1
playing singstar without my fave duetter,negative,twitter,0
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",positive,facebook,1
" That`s just weird... :\  Oh, and what was it you were drawing for me?",negative,instagram,0
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive,instagram,1
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",negative,twitter,0
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",positive,facebook,1
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",negative,instagram,0
 FIL 461 with cool people like me,positive,twitter,1
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive,facebook,1
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral,instagram,2
my son got stung by a bug for the first time  his little finger is slightly swollen.,negative,twitter,0
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,neutral,facebook,2
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,neutral,instagram,2
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,negative,twitter,0
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,positive,instagram,1
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,negative,facebook,0
I`m missing crab legs and attending my going away instead!,negative,twitter,0
Hicks are mean!,negative,instagram,0
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",negative,facebook,0
"back soon, need to run to the shops and cut the grass",neutral,twitter,2
I`m up. I have a plan to transform my bedroom today. Random.,neutral,instagram,2
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",negative,facebook,0
 thats another sponsor,neutral,instagram,2
" And most of us are going to be stuck in an office, some without windows",negative,twitter,0
 No it`s not sad. Should make you proud,negative,instagram,0
"   Sorry, we`ll try to keep it down.",negative,facebook,0
is home alone.. Doing hw,neutral,instagram,2
"According to , a quarter of families under six live in poverty.",negative,twitter,0
the plan to not spend money is not going well,negative,instagram,0
uploading all my bamboozle pictures of facebook,neutral,facebook,2
 congratulations ! you guys finish a month early than we do. booo,positive,twitter,1
" actually, I wish I was back in Tahoe.  I miss it there.",negative,instagram,0
